t0	3
t1	5
t10	5
t100	5
t1000	5
t10000	3
t100000	5
t100001	3
t100002	5
t100003	5
t100004	1
t100005	5
t100006	4
t100007	3
t100008	1
t100009	3
t10001	5
t100010	3
t100011	5
t100012	3
t100013	1
t100014	5
t100015	5
t100016	3
t100017	3
t100018	3
t100019	3
t10002	5
t100020	5
t100021	3
t100022	5
t100023	4
t100024	3
t100025	5
t100026	3
t100027	5
t100028	4
t100029	5
t10003	4
t100030	3
t100031	5
t100032	3
t100033	3
t100034	3
t100035	5
t100036	1
t100037	3
t100038	5
t100039	4
t10004	3
t100040	3
t100041	4
t100042	3
t100043	5
t100044	3
t100045	3
t100046	5
t100047	3
t100048	5
t100049	4
t10005	5
t100050	5
t100051	4
t100052	5
t100053	3
t100054	3
t100055	3
t100056	5
t100057	5
t100058	3
t100059	5
t10006	3
t100060	3
t100061	3
t100062	5
t100063	3
t100064	4
t100065	5
t100066	5
t100067	5
t100068	3
t100069	5
t10007	3
t100070	4
t100071	4
t100072	5
t100073	5
t100074	5
t100075	5
t100076	4
t100077	5
t100078	5
t100079	3
t10008	1
t100080	3
t100081	5
t100082	3
t100083	3
t100084	4
t100085	5
t100086	1
t100087	3
t100088	4
t100089	1
t10009	4
t100090	4
t100091	5
t100092	5
t100093	3
t100094	5
t100095	5
t100096	3
t100097	3
t100098	5
t100099	3
t1001	3
t10010	3
t100100	5
t100101	3
t100102	4
t100103	4
t100104	3
t100105	5
t100106	3
t100107	3
t100108	4
t100109	4
t10011	3
t100110	5
t100111	4
t100112	3
t100113	5
t100114	3
t100115	4
t100116	3
t100117	5
t100118	3
t100119	5
t10012	1
t100120	3
t100121	5
t100122	5
t100123	3
t100124	3
t100125	5
t100126	3
t100127	3
t100128	3
t100129	3
t10013	4
t100130	4
t100131	5
t100132	5
t100133	3
t100134	5
t100135	5
t100136	2
t100137	3
t100138	5
t100139	4
t10014	3
t100140	3
t100141	3
t100142	3
t100143	3
t100144	5
t100145	4
t100146	3
t100147	1
t100148	3
t100149	3
t10015	1
t100150	3
t100151	3
t100152	5
t100153	5
t100154	3
t100155	3
t100156	4
t100157	3
t100158	4
t100159	1
t10016	3
t100160	3
t100161	3
t100162	3
t100163	5
t100164	3
t100165	2
t100166	5
t100167	5
t100168	3
t100169	3
t10017	3
t100170	3
t100171	5
t100172	3
t100173	3
t100174	5
t100175	4
t100176	3
t100177	3
t100178	3
t100179	3
t10018	5
t100180	3
t100181	5
t100182	3
t100183	4
t100184	5
t100185	5
t100186	3
t100187	5
t100188	4
t100189	5
t10019	4
t100190	3
t100191	3
t100192	1
t100193	3
t100194	3
t100195	3
t100196	3
t100197	1
t100198	4
t100199	4
t1002	5
t10020	3
t100200	3
t100201	3
t100202	4
t100203	5
t100204	3
t100205	3
t100206	3
t100207	2
t100208	1
t100209	3
t10021	3
t100210	3
t100211	3
t100212	3
t100213	3
t100214	4
t100215	5
t100216	3
t100217	4
t100218	3
t100219	5
t10022	3
t100220	3
t100221	4
t100222	4
t100223	3
t100224	3
t100225	5
t100226	3
t100227	3
t100228	4
t100229	3
t10023	4
t100230	3
t100231	5
t100232	5
t100233	3
t100234	4
t100235	3
t100236	5
t100237	5
t100238	5
t100239	3
t10024	3
t100240	5
t100241	3
t100242	5
t100243	1
t100244	3
t100245	3
t100246	3
t100247	3
t100248	5
t100249	3
t10025	3
t100250	5
t100251	5
t100252	5
t100253	3
t100254	5
t100255	1
t100256	4
t100257	5
t100258	5
t100259	3
t10026	4
t100260	5
t100261	4
t100262	3
t100263	3
t100264	5
t100265	4
t100266	3
t100267	5
t100268	5
t100269	3
